name,artist,charter,grade,category
"DNA Uber Solo-X",Sidney600,Sidney600,10,Tapping
"Cave Story vGH","LeanieGH (ft. Jarvis9999)",LeanieGH,10,Variety
"Raiding the Icy Town",PixelGH,PixelGH,10,Variety
Cataclysm,MetaAXS,MetaAXS,10,Tapping
"Press Start",MDK,HeatherTheHusky,10,Technicality
"The Godlike",Jarvis9999,Jarvis9999,10,Tapping
"Ode to Tyler 2 (feat. SpeedPants)",BashedBandicoot,BashedBandicoot,10,Variety
"Ode to Tyler 2 (feat. SpeedPants)",BashedBandicoot,BashedBandicoot,10,Variety
Ascent,UmbTheUmbreon,UmbTheUmbreon,10,Variety
"1994 Part 3: Hopeless",Mattias,Mattias,10,Tapping
"1994 Part 5: Moments 2",Mattias,Mattias,10,Tapping
"1994 Part 6: Assault/Retaliation",Mattias,Mattias,10,Tapping
"1994 Part 9: Dark Matter",Mattias,Mattias,10,Tapping
"Zoey Patterns",Stelluro,Stelluro,10,Tapping
"Ear R*pe",Prebensoerensen93,Prebensoerensen93,10,Variety
"Secret (2020 Mix)","A Crystalline Harmony","A Crystalline Harmony",10,Technicality
"H-ell (Medium)","3 & mat1jaczyyy","3 & mat1jaczyyy",10,Technicality
"8 Bit Superhero","Excision & Datsik",Shobas,10,Tapping
"Voyager Twins","Gramatik ft. Galactic Marvl",Shobas,10,Tapping
"Intimidation - Dis Killa","Let's Be Friends",Shobas,10,Technicality
"Through the Fire and Flames (125% Speed) (GH3)",Dragonforce,Neversoft,10,Variety
"Auxy 4",MetallicaAXS,MetallicaAXS,10,Variety
"Auxy 6",MetallicaAXS,MetallicaAXS,10,Tapping
"Auxy 7",MetallicaAXS,MetallicaAXS,10,Tapping
"Just Monika",Hyperbolium,Hyperbolium,10,Variety
Splatch,"Mark Varney Project",xX760Xx,10,Consistency
"Ode to Friendlydad",Whyks,Whyks,10,Tapping
"Egoless [Act 1] (Hard Chart)","Avenge & Hekya","Hekya & Avenge",10,Variety
"Patterns 2++",Schmutz06,Schmutz06,11,Variety
Penger,TSMB2,TSMB2,11,Tapping
Purification,Jarvis9999,Jarvis9999,11,Variety
"Toccata in C Major, Op. 92 (CTH3)","Carl Czerny",Haggis,11,Chording
"Glacial Storm 3++",Spunky,Spunky,11,Tapping
"Synth Battle vs Pixel",PixelGH,PixelGH,11,Tapping
"Staple Tapeworms On My Penis (Raked)","Passenger of Shit",Hyperbola,11,Variety
"Stuck 4000 Miles Out In The Middle Of Nowhere",MetaAXS,MetaAXS,11,Tapping
"Patterns on the Planet Express 2",MetaAXS,MetaAXS,11,Tapping
"Infinite Ammo vGH (Uber Remix)",MetaAXS,MetaAXS,11,Tapping
"Extends Levant",HertzDevil,adohu,11,Tapping
"Megalomania (Unforced)","Undead Corporation",DoomwrldGH,11,Strumming
"Egoless [Act 2]","Avenge & Hekya","Hekya & Avenge",11,Variety
Consequences,MetaAXS,MetaAXS,11,Tapping
Skepsis,"Der Weg Einer Freiheit",OrangeHat,11,Strumming
"Destruction Armageddon 2",Void222X,Void222X,11,Tapping
Maelstrom,"Tut Tut Child",Notenaut,11,Tapping
"Keys III",Succy,Succy,11,Tapping
"The Circle (Unforced)",Heretoir,DoomWrldGH,11,Strumming
Origin,AngelMaker,DoomWrldGH,11,Strumming
"A Three Legged Workhorse","This Will Destroy You",Vena,11,Strumming
"Before We Begin (Original)",Thingerthing,Thingerthing,11,Variety
"Ocy's Hell 2",Courtemanche437,Courtemanche437,11,Tapping
"Milky Ways vGH",Bossfight,3,11,Tapping
Nubinator,Schmutz06,Schmutz06,11,Technicality
"Synth Battle vs Venomwave",Venomwave,Venomwave,11,Variety
"Grains of Sand","Andrew Huang",Unknown,11,Tapping
"Lunar Luminance 3",SoInhumane,SoInhumane,11,Variety
"Dark Forest Trail 2",Lemonxreaper,lemonxreaper,11,Variety
"Slit Your Guts",Cryptopsy,iZenPenguin,11,Strumming
"All Night Long (8-Bit Remix)","Parov Stelar (Remix by Jarvis9999)",Jarvis9999,11,Tapping
"Cross:Null 2",BGMusic,BGMusic,11,Tapping
"The Devils Den (150% Speed)",Skrillex,jdurand11143,11,Technicality
Gambit,Zef,Plumato,11,Technicality
"Everything You Can Imagine Is Real...","Violet Cold",Jakvlt,11,Strumming
"The Power","The Boneyard","Frif and Hyperbolium",11,Tapping
"The Freefall","The Boneyard",Mattias,11,Variety
"Speed Test (Raked)",ExileLord,ExileLord,11,Strumming
"Spazzmatica Polka (250% speed)","Kevin Macleod",HeatherTheHusky,11,Tapping
"Floating in the Clouds","Jarvis9999 (ft. PixelGH)",Jarvis9999,11,Variety
Chaos,Schmutz06,Schmutz06,11,Technicality
Maxilocity,Sidney600,Sidney600,11,Variety
"Sicko Mode vGH (125%)",succy,succy,11,Tapping
"Hollow (Forced Dark Circus)",Exilelord,Exilelord,11,Technicality
"AXS Solo Medley (Paradigm)",Mattias,Mattias/Frif,11,Consistency
"Crazy Bus","Made in Venezuela",Frif,11,Chording
Immortal,TSMB2,TSMB2,11,Tapping
"The WTF Song 2",MrGregMurphy,MrGregMurphy,11,Tapping
"Scientifically Built For Insanity","Mattias, Frif",Mattias,11,Variety
"Let it Roar",Noisestorm,Schmooey,11,Consistency
"Robotic Buildup Practice Chart","ExileLord and Fogsaturate","ExileLord and Fogsaturate",11,Chording
"Quartz River (240 BPM)",ExileLord,ExileLord,11,Variety
"Let it Go vGH",MetaAXS,MetaAXS,11,Tapping
"1994 Part 8: Pixels",Mattias,Mattias,11,Tapping
"1994 Part 14: Elysium",Mattias,Mattias,11,Tapping
"Gravity Sucks",Prebensoerensen93,Prebensoerensen93,11,Strumming
Z:iRNiTRA,Camellia,Rek3dge,11,Technicality
"Boss Wave",Xilent,Shobas,11,Tapping
Interpolate,Succy,Succy,11,Tapping
"Brandon's World",PixelGH,fyighfreak,11,Technicality
"Soulless 2",ExileLord,ExileLord,12,Variety
"What Inhumane Effort Sounds Like",SoInhumane,SoInhumane,12,Variety
"Patterns 4+",Schmutz06,Schmutz06,12,Variety
"Take Two","cecilcitrus (Kolajo)",Kolajo,12,Chording
"Monster (DOTEXE Remix)","Meg & Dia",Jarvis9999,12,Tapping
"MTC vGH","S3RL (ft. Jodie) (vGHed by MetaAXS)",MetaAXS,12,Tapping
"Prebininis Caprice (VCF)",Prebensorensen93,Prebensorensen93,12,Variety
Epidox,ExileLord,ExileLord,12,Variety
"Offers Final Battle",TheEruptionOffer,TheEruptionOffer,12,Variety
"Inverted 2",XxNicxX11,XxNicxX11,12,Variety
"Minor Technicalities",Jarvis9999,Mooskyy,12,Variety
"The Queen Has Spoken!",TheEruptionOffer,TheEruptionOffer,12,Variety
Clockworks,TheSuperMarioBros2,TheSuperMarioBros2,12,Consistency
"You Time You Show You Universe","Blitz Lunar",Chemfinal,12,Tapping
"Rush E","Sheet Music Boss",dan9er,12,Chording
"Glacial Storm 4",Spunky,Spunky,12,Tapping
"Onigiri Freeway",OISHII,Jarvis9999,12,Tapping
"Alex Jones vGH",PixelGH,PixelGH,12,Tapping
"Supernovae Ruptis","Keep of Kalessin, Hyperbolium",Hyperbolium,12,Tapping
"Bugs Bunny’s Forest",Metea11,Unknown,12,Tapping
"Sidney’s Fanatical Solo Frenzy",Sidney600,Sidney600,12,Variety
"Alter Ego",TSMB2,TSMB2,12,Variety
"The Mighty Rio Grande","This Will Destroy You",VenaCH,12,Strumming
Rattlesnakes,Vexare,Schmooey,12,Strumming
"The Violation (Forced)","Fleshgod Apocalypse",LemonGH,12,Strumming
Quadpocalypse,Schmutz06,Schmutz06,12,Tapping
"Lazers (Uber)",Schmutz06,Schmutz06,12,Tapping
"DNA 3",Sidney600,Sidney600,12,Variety
"Vera Luna (Lunar Luminance 4)",SoInhumane,SoInhumane,12,Tapping
Speed,"Pablo G. Soler",Peddy,12,Tapping
"What Full Effort Sounds Like",Soinhumane,Soinhumane,12,Variety
"The Quality","The Boneyard","Frif and Hyperbolium",12,Variety
"The Olympian [Act 1]","The Boneyard","Frif and Hyperbolium",12,Tapping
"He He He",cardboard_box,Peddy,12,Variety
"They Move on Tracks of Never-Ending Light","This Will Destroy You",vena,12,Strumming
CHICANERY,3,3,12,Tapping
Xenon++,Sidney600,Sidney600,12,Tapping
"Exilelord Solo Medley",Exilelord,Exilelord/Frif,12,Strumming
"Metea11 Solo Medley",Metea11,Metea11/Frif,12,Consistency
ABadAct,"Sidney600 (feat. Ginstr)",Sidney600,12,Tapping
"DNA Uber Remix",Sidney600,Sidney600,12,Tapping
"The Machine",TheEruptionOffer,TheEruptionOffer,12,Consistency
"1994 Part 4: Tartarus",Mattias,Mattias,12,Tapping
"1994 Part 11: Pulse",Mattias,Mattias,12,Tapping
"1994 Part 12: Retaliation 2",Mattias,Mattias,12,Tapping
"1994 Part 13: Moments 3",Mattias,Mattias,12,Variety
"Waving My Novae In The Wind",Ween/VenomWave,VenomWave,12,Tapping
"Crap Tree",Prebensoerensen93,Prebensoerensen93,12,Technicality
Secret,SoInhumane,SoInhumane,12,Technicality
"Novae Ruptis (125% Speed)","Keep of Kalessin",Branspeed,12,Strumming
"Underworld (Full Album)","Symphony X","DarkWolf, Peddy",12,Consistency
"Death of a Dead Day (Full Album)",Sikth,Zantor,12,Consistency
Alchemist,"Savant & Gino Sydal",Shobas,12,Technicality
"The Creator","Let's Be Friends",Shobas,12,Technicality
"Light Switch","Charlie Puth",Hyperbolium,12,Variety
Necropocalypse,"Infant Annihilator",Miscellany,12,Strumming
"Matt Hardy 999 vGH",Succy,Succy,12,Tapping
"Constant Motion ACCURARE","Dream Theater",spoonplus1,12,Variety
"I Am Like A Cold Wind In The Bleak Dark Empty Night Patiently Waiting To Gently Blow At Any Individual Who Might Come Outside",Prebensoerensen93,Prebensoerensen93,12,Technicality
"Pretty Blue Skies",Prebensoerensen93,Prebensoerensen93,12,Tapping
Reprise,Thingerthing,Thingerthing,12,Variety
Earth,BlackPawn,BlackPawn,12,Variety
"Sounds Like Swings","Succy (feat. Shady)",Succy,12,Tapping
"Jewless 6",Exilelord,"Half Jew",12,Puzzle
"What Phrygian Sounds Like",PixelGH,PixelGH,12,Variety
"East Jesus Nowhere (150% Speed) (Standard)","Green Day",Harmonix,12,Strumming
"Silvera (250% Speed)",Gojira,captaintoasty,12,Technicality
Ballistic,sock.clip,Frif,13,Chording
"Mike Orlando Solo Medley (AH1)","Mike Orlando","2DHumanity, Chemfinal",13,Variety
"Inhumane Forest Trail",SoInhumane,SoInhumane,13,Variety
"Lemon Battery",SoInhumane,SoInhumane,13,Variety
"Moog 2","DeadShadow & Courtemanche437",DeadShadow,13,Tapping
"Wiint Sober (Synergy)",Tool,Frif,13,Strumming
"Patterns on the Planet Express 3",MetaAXS,MetaAXS,13,Tapping
"Sky Fracture vGH","Getsix (vGHed by RiskiVR)",RiskiVR,13,Tapping
Vinner,TheSuperMarioBros2,TheSuperMarioBros2,13,Variety
"Glacial Storm 4+",Spunky,Spunky,13,Variety
"Binary Simulation",Void222X,Void222X,13,Chording
"Egoless [Act 3]","Avenge & Hekya","Hekya & Avenge",13,Variety
"Egoless [Act 6]","Avenge & Hekya","Hekya & Avenge",13,Variety
"Egoless [Act 7]","Avenge & Hekya","Hekya & Avenge",13,Chording
Cross:Null,BGMusic,"Zed Coeur",13,Tapping
"Open Window vGH (Remastered)","MitiS (feat. Anne Yvette), Jarvis9999","Jarvis9999, Mattias",13,Tapping
Terminal,Renard,SoInhumane,13,Technicality
"Megalomania (Forced)","Undead Corporation",LemonGH,13,Strumming
"I LOVE HORSES",McMaNGOS,PONYCORE,13,Chording
"knots (overchart)",Quadeca,Jarvis9999,13,Variety
Ill,3,3,13,Variety
"DNA 4",Sidney600,Sidney600,13,Variety
Lacuna,DeadShadowGH,DeadShadowGH,13,Tapping
"Pepper Steak","Alias Conrad Coldwood",jrstank,13,Technicality
"BFG Division vGH","Mick Gordon (vGH by PixelGH)",PixelGH,13,Variety
"Dead End","You Love Her Cos She's Dead",Frif,13,Tapping
"3999 Uber Solo D-E - DNA Uber Solo 3+",Sidney600,"EthanGH (Sidney600)",13,Consistency
"The Best of Both Worlds",Jarvis9999,Jarvis9999,13,Technicality
Starsiege,Jarvis9999,Jarvis9999,13,Technicality
"Synth Battle vs DeadShadow",DeadShadow,DeadShadow,13,Variety
"Open Window vGH (Hard)","MitiS (ft. AnnaYvette) (vGHed by Jarvis 9999)",Jarvis9999,13,Variety
"Groundhog (Beat Juggle)",Noisia,Frif,13,Technicality
R18+,MetaAXS,MetaAXS,13,Tapping
Offery,VenomWave,VenomWave,13,Tapping
go,Prebensoerensen93,Prebensoerensen93,13,Variety
"Rewind Outro Kamikaze",Leprous,Mooskyy,13,Strumming
"Egoless Chorus Medley","Avenge & Hekya",nitroausome,13,Variety
"WYSI (When You See It)",Camellia,Hodor1355,13,Technicality
"Miss The Rage vGH",Succy,Succy,13,Tapping
"Sun of Nothing","Between the Buried and Me",fyighfreak,13,Tapping
Icosahedron,slidewhistle444,slidewhistle444,13,Puzzle
"Dirtiest Pool (PAH)","Stevie Ray Vaughan","Harmonix (RobGHH)",14,Strumming
"Pillars of Mercy (Unforced)",Absu,Miscellany,14,Strumming
"Epidermis (Drums to Guitar) (All Strums)","Venetian Snares",TheLieInKing,14,Chording
"Mega Wub Wub","Shawn Wasabi",TobeGH3,14,Technicality
"The Glitch","The Boneyard","The Boneyard",14,Variety
"Zoidberg's Revenge",DigitalSquirrel,DigitalSquirrel,14,Tapping
"Synth Battle Vs. Ocy",ocyGH,ocyGH,14,Tapping
"Apollo 21++",Sidney600,Sidney600,14,Variety
"Action Classical Inc",MECHAMOZART,Adohu,14,Tapping
"LXR's Inferno",Hyperbolium,LeanieGH,14,Chording
"Cataclysm 2",MetaAXS,MetaAXS,14,Tapping
"El Diablo",TheEruptionOffer,TheEruptionOffer,14,Consistency
"Hanukkah, Oh Hannukah (Overchart)","Barenaked Ladies","Half Jew",14,Puzzle
"Synthocide (Dual Guitar)",ExileLord,ExileLord,14,Consistency
"Coalescence and Segmentation",ExileLord,ExileLord,14,Variety
"Soulless 5 Reversed",ExileLord,"ExileLord (reversed by NiclasWA)",14,Variety
"Hypnovia (Hard Chart)",Hyperbolium,Hyperbolium,14,Variety
"Groundhog (Beat Juggle)",NOISIA,Frif,14,Variety
"Chord Bastard",Schmutz06,Schmutz06,14,Chording
"The Imposition","Fleshgod Apocalypse",LemonGH,14,Strumming
"Ov Sacrament and Sincest","Infant Annihilator",Miscellany,14,"Strumming + Technicality"
"Rainbow Dashs Gala",F3nning,PhantomGHero,14,Strumming
Chordzilla,Schmutz06,Schmutz06,14,Consistency
"What More Effort Sounds Like",SoInhumane,SoInhumane,14,Variety
"DNA 3 (X-Chart)",Sidney600,Sidney600,14,Variety
Relinquish,Trama,Trama,14,Tapping
"The Culling","The Boneyard","Frif and Hyperbolium",14,Tapping
"The Olympian [Act 2]","The Boneyard","Frif and Hyperbolium",14,Tapping
"Fallout (150% Speed)",MetallicaIs1337,MetallicaIs1337,14,Tapping
"Ode To THR3A",Zeppy,Zeppy,14,Variety
"Synth Battle vs BlackPawn",BlackPawn,BlackPawn,14,Tapping
"Schmutz06 Solo Medley",Schmutz06,Schmutz06/Frif,14,Consistency
"Save Me (Synergy Chart)","Avenged Sevenfold",Hyperbolium,14,Consistency
"Daddy, Brother, Lover, Little Boy (The Electric Drill Song) (Unnerfed)","Mr. Big",Peddy,14,Strumming
"Glorious Breakdown II",VenomWave,VenomWave,14,Tapping
"H-ell (Hard)","3 & mat1jaczyyy","3 & mat1jaczyyy",14,Gimmick
"Toymachines Nightmare",Prebensoerensen93,Prebensoerensen93,14,Chording
"Beach Day (Ode to Frif)",UmbTheUmbreon,UmbTheUmbreon,14,Variety
"Codes (Raked)",TSMB2,TSMB2,14,Technicality
"Boom Boom Boom Boom (Overchart)",Vengaboys,Shobas,14,Tapping
"Black Rascal",Vexare,Shobas,14,Technicality
"Sounds Like Swings 2 (Hard)",Succy,Succy,14,Tapping
"Jordan (200% speed)",Buckethead,Harmonix,14,Technicality
"Through The Fire And Flames (GH3) (150% Speed)",Dragonforce,Neversoft,14,Variety
"Celtic Wisdom",3,3,14,Variety
"Auxy 11",MetallicaAXS,MetallicaAXS,14,Variety
"Morbid Farewell",SoInhumane,SoInhumane,14,Technicality
"Soulless 4",ExileLord,ExileLord,15,Variety
"Soulless 5",ExileLord,ExileLord,15,Variety
"Crisis City vGH","Sega Sound Team, Tomoya Ohtani (vGHed by SoInhumane)",SoInhumane,15,Variety
"Giga Wub Wub",3,3,15,Variety
Parabolic,"Hyperbolium & Courtemanche437",Hyperbolium,15,Variety
"No Escape 2 (VCF)",Zeppy,Zeppy,15,Variety
"Soldier Side","System of a Down",nicholasp,15,Strumming
"The Empress (Forced)","UNDEAD CORPORATION",LemonGH,15,Strumming
"Drown in Perdition",Necrosy,DoomWrldGH,15,Strumming
Speedom,"Tech N9ne (ft. Eminem & Krizz Kaliko)",Hyperbola,15,Variety
Paraffin,"You Love Her Coz Shes Dead",Adohu,15,Chording
"Ievan Polkka",MetaAXS,MetaAXS,15,Tapping
"The Good Ending",MetaAXS,MetaAXS,15,Tapping
Prevail,Jarvis9999,Jarvis9999,15,Tapping
"Tramatic Carnival","Trama & Mattias","Trama & Mattias",15,Tapping
"Penger (125% Speed)",TheSuperMarioBros2,TheSuperMarioBros2,15,Tapping
"Synth Battle vs. Mattias",Mattias,Mattias,15,Tapping
"Galactic Trance 3",Oscarous64,Oscarous64,15,Consistency
"VIP Party 2",MetaAXS,MetaAXS,15,Tapping
"Celtic Wisdom II",3,3,15,Variety
Antidote,TheEruptionOffer,TheEruptionOffer,15,Consistency
"Zinnia Battle vGH",Sidney600,Sidney600,15,Variety
"Egoless [Act 4]","Avenge & Hekya","Hekya & Avenge",15,Variety
"The WTS Song",VenomWave,VenomWave,15,Tapping
Trillbot,Schmutz06,Schmutz06,15,Variety
"The Tale of The Leviathan",Jarvis9999,Jarvis9999,15,Variety
Leanberg,Schmutz06,Lean,15,Gimmick
"minnesota is a place that exists",glaive,b6,15,Variety
"Clowns of Dibble Dabble","Callum Whyte","Callum Whyte",15,Variety
"Spacerace (Hard)",ArchWk,ArchWk,15,Variety
"ArchWk's Hell (Hard)",ArchWk,ArchWk,15,Tapping
"Synth Battle Vs. Deadshadow",Deadshadow,Deadshadow,15,Tapping
"Sidney600 Solo Medley",Sidney600,Sidney600/Frif,15,Consistency
Ignition,"Killing With Fire",Frif,15,Strumming
"The TripleT Terrorbyte Trance Techno Thing",KungFuFurby,Jarvis9999,15,Variety
"Soinhumane Solo Medley",Soinhumane,Soinhumane/Frif,15,Consistency
Keystone,LeanieGH,LeanieGH,15,Tapping
"Waving my Dick in the Wind (165% Speed)",Ween,Halcyon,15,Technicality
"Event Horizon (B-Side)",Sidney600,Sidney600,15,Tapping
FirstSong,Prebensoerensen93,Prebensoerensen93,15,Gimmick
"Ninja Tornado",Prebensoerensen93,Prebensoerensen93,15,Strumming
"Drowsees Circus 3",Drowsee,Drowsee,15,Technicality
Ghoul,Camellia,Hodor1355,15,Technicality
"MP5 vGH",Succy,Succy,15,Tapping
Supercalafragaridiculosous,"Todd Duane",OrangeHat,15,Chording
"hand crushed by a mallet CH Remix","100 Gecs",Ginstr,15,Tapping
"Colossus Uber Solo (Hard)",BlackPawn,BlackPawn,15,Variety
"Dragon Emperor",Matt$,Matt$,15,Tapping
"Ososlop (Ode to Sinister)",LeanieGH,LeanieGH,16,Variety
"Victory Solo J",Schmutz06,Schmutz06,16,Variety
"The Betrayal","Fleshgod Apocalypse",ShadeGH,16,Strumming
"A Worm, Dying (VCF)",Prebensoerensen93,Prebensoerensen93,16,Chording
Obsidian,ExileLord,ExileLord,16,Chording
"What No Effort Sounds Like",SoInhumane,SoInhumane,16,Chording
Marathon,Schmutz06,Schmutz06,16,Tapping
"Synth Battle vs Zeppy",Zeppy,Zeppy,16,Tapping
"WTF Song 3",MrGregMurphy,MrGregMurphy,16,Variety
Reanimate,Warak,Spanklie,16,Variety
"Dungeon Dweller",Jarvis9999,Jarvis9999,16,Variety
"Soulless 5 (110% Speed)",ExileLord,ExileLord,16,Variety
"Penger Overchart",TheSuperMarioBros2,Frif,16,Tapping
"Behold the Kingdom of the Wretched Wiitars","Infant Annihilator",Jarvis9999,16,Tapping
"Inverted 3","XxNicxX11 (ft. PixelGH)",PixelGH,16,Variety
Crystalline,Tornith,Tornith,16,Variety
"APN v1.1",MetaAXS,MetaAXS,16,Variety
"Empty Bed (Standard)","Saint Punk",Schmooey,16,Strumming
"Madness March Kamikaze",Schmutz06,Schmutz06,16,Tapping
"Madness March Kamikaze 2",Schmutz06,Schmutz06,16,Tapping
"Daddy, Brother, Lover, Little Boy","Mr. Big",Farottone,16,Strumming
"No Fucks Were Given",xKirby,xKirby,16,Tapping
"The Egoism","Fleshgod Apocalypse",Frus77,16,Strumming
"Souls of Black Blood (Unforced)",Urgehal,Pashow,16,Strumming
"Half Jew’s Hell (200% Speed)","Half Jew","Half Jew",16,Puzzle
Livewire,Zef,Hyperbolium,16,Variety
"DNA 3 Uber Solo",Sidney600,Sidney600,16,Tapping
"The Olympian [Act 4]","The Boneyard","Frif and Hyperbolium",16,Variety
"The Olympian [Act 6]","The Boneyard","Frif and Hyperbolium",16,Variety
"Bleeper #5 v2.0",ChaosCH,ChaosCH,16,Tapping
"Soulless 4 (Abridged) (Abridged)",ExileLord/Hyperbola,Hyperbola,16,Variety
"ELECTRIC HEX","The Quick Brown Fox",fogsaturate,16,Tapping
"The Bad Ending",Mattias,Mattias,16,Consistency
"PixelGH Solo Medley",PixelGH,PixelGH/Frif,16,Consistency
"Apocynthion Drive",Hertzdevil,Jarvis9999,16,Tapping
"Jarvis9999 Solo Medley",Jarvis9999,Jarvis9999/Frif,16,Consistency
"Buried Alive (Woke Chart)","Avenged Sevenfold",Frif,16,Variety
"Sam And Cat Theme (Just Fine)","Michael Corcoran",VenomWave,16,Tapping
"Madness Arch Quintkaze",ArchWk,ArchWk,16,Tapping
"Highway to Oblivion (Overchart)",Dragonforce,Frif,16,Tapping
"Wii Are Number One (Remix)",Dunderpatrullen,Shobas,16,Tapping
"Dance With Silence",Camellia,Jarvis9999,16,Chording
"Through The Fire And Flames (GH3) (165% Speed)",Dragonforce,Neversoft,16,Variety
Complex,Sidney,Sidney,16,Technicality
"Effing Chords 2",Kolaĵo,Kolaĵo,16,Technicality
"Supernovae Solo Buffed",Archwk,Archwk,16,Tapping
"Ants of The Sky","Between the Buried and Me",fyighfreak,16,Tapping
"H-ell (Hard, 125%)","3 & mat1jaczyyy","3 & mat1jaczyyy",16,Gimmick
"Pillars of Mercy (Forced)",Absu,Void,17,Strumming
"Soulless 6",ExileLord,ExileLord,17,Gimmick
"Solar Flare",InfamousColin,InfamousColin,17,Variety
"Ripened Pears",Vexare,Schmooey,17,Variety
"What Ultimate Effort Sounds Like",SoInhumane,SoInhumane/Plumato,17,Variety
"Behold the Kingdom of the Wretched Undying","Infant Annihilator",ShadeGH,17,Strumming
"Soil the Stillborn","Infant Annihilator",Hyperbolium,17,Strumming
"Amanat (200% Speed)",HasSak,gaebpls,17,Strumming
"MetaAXS Solo Medley",MetaAXS,MetaAXS,17,Tapping
"Corruption (Unnerfed)","Instant Reality",Supradyke,17,Tapping
"WTF Song 4",MrGregMurphy,MrGregMurphy,17,Tapping
"Fimbulwinter Tritide",HertzDevil,Peddy,17,Tapping
"Apollo 22++",Sidney600,Sidney600,17,Variety
"Demons 2",Sparky5856,Sparky5856,17,Variety
"Prevail (110% Speed)",Jarvis9999,Jarvis9999,17,Variety
"Wiitars of Mercy",Absu,Kraitch,17,Tapping
"Angel Voices","Virtual Self",Jarvis9999,17,Chording
"Egoless [Act 1]","Avenge & Hekya","Hekya & Avenge",17,Variety
"Winter Madness March Kamikaze",Spunky,Spunky,17,Tapping
"Moog 3","DeadShadow (ft. Courtemanche437, Zeppy, Sidney600)",DeadShadow,17,Tapping
"sydneys fantastic solo (original chart)",Sidney600,Sidney600,17,Variety
"sydneys fantastic solo",Sidney600,Sidney600,17,Variety
"He He He (125% Speed)",cardboard_box,Peddy,17,Variety
